eco:b4268 ['idnK'] [('NCBI-GeneID', ['946066']), ('NCBI-ProteinID', ['NP_418689']), ('Pasteur', ['idnK']), ('RegulonDB', ['ECK120002051']), ('ECOCYC', ['EG12152']), ('ASAP', ['ABE-0013980']), ('UniProt', ['P39208'])]
eco:b3553 ['ghrB'] [('NCBI-GeneID', ['948074']), ('NCBI-ProteinID', ['NP_418009']), ('Pasteur', ['yiaE']), ('RegulonDB', ['ECK120002153']), ('ECOCYC', ['EG12272']), ('ASAP', ['ABE-0011604']), ('UniProt', ['P37666'])]
eco:b0124 ['gcd'] [('NCBI-GeneID', ['944830']), ('NCBI-ProteinID', ['NP_414666']), ('Pasteur', ['gcd']), ('RegulonDB', ['ECK120000362']), ('ECOCYC', ['EG10369']), ('ASAP', ['ABE-0000433']), ('UniProt', ['P15877'])]
eco:b1850 ['eda'] [('NCBI-GeneID', ['946367']), ('NCBI-ProteinID', ['NP_416364']), ('Pasteur', ['eda']), ('RegulonDB', ['ECK120000250']), ('ECOCYC', ['EG10256']), ('ASAP', ['ABE-0006164']), ('UniProt', ['P0A955'])]
eco:b2464 ['talA'] [('NCBI-GeneID', ['947006']), ('NCBI-ProteinID', ['NP_416959']), ('Pasteur', ['talA']), ('RegulonDB', ['ECK120001731']), ('ECOCYC', ['EG11797']), ('ASAP', ['ABE-0008115']), ('UniProt', ['P0A867'])]
eco:b2029 ['gnd'] [('NCBI-GeneID', ['946554']), ('NCBI-ProteinID', ['NP_416533']), ('Pasteur', ['gnd']), ('RegulonDB', ['ECK120000404']), ('ECOCYC', ['EG10411']), ('ASAP', ['ABE-0006737']), ('UniProt', ['P00350'])]
eco:b0767 ['pgl'] [('NCBI-GeneID', ['946398']), ('NCBI-ProteinID', ['NP_415288']), ('Pasteur', ['ybhE']), ('RegulonDB', ['ECK120002997']), ('ECOCYC', ['G6397']), ('ASAP', ['ABE-0002611']), ('UniProt', ['P52697'])]
eco:b3386 ['rpe'] [('NCBI-GeneID', ['947896']), ('NCBI-ProteinID', ['NP_417845']), ('Pasteur', ['rpe']), ('RegulonDB', ['ECK120004466']), ('ECOCYC', ['M004']), ('ASAP', ['ABE-0011061']), ('UniProt', ['P0AG07'])]
eco:b1852 ['zwf'] [('NCBI-GeneID', ['946370']), ('NCBI-ProteinID', ['NP_416366']), ('Pasteur', ['zwf']), ('RegulonDB', ['ECK120001199']), ('ECOCYC', ['EG11221']), ('ASAP', ['ABE-0006171']), ('UniProt', ['P0AC53'])]
eco:b4090 ['rpiB'] [('NCBI-GeneID', ['948602']), ('NCBI-ProteinID', ['NP_418514']), ('Pasteur', ['rpiB']), ('RegulonDB', ['ECK120001759']), ('ECOCYC', ['EG11827']), ('ASAP', ['ABE-0013405']), ('UniProt', ['P37351'])]
eco:b3752 ['rbsK'] [('NCBI-GeneID', ['948260']), ('NCBI-ProteinID', ['NP_418208']), ('Pasteur', ['rbsK']), ('RegulonDB', ['ECK120000809']), ('ECOCYC', ['EG10818']), ('ASAP', ['ABE-0012266']), ('UniProt', ['P0A9J6'])]
