Feature/Product	Frequency on Database	Class(1:essential 2:noessential)
acrA	1	2
acrB	1	2
marA	1	2
sapD	1	2
sapB	1	2
nlpE	1	2
ppiA	1	2
arnF	1	2
degP	1	2
arnT	1	2
eptA	1	2
sapF	1	2
sapC	1	2
sapA	1	2
pagP	1	2
malK	1	2
afuC	1	2
atoC	1	2
cusR	1	2
cusC	1	2
cusB	1	2
cusA	1	2
cusF	1	2
narP	1	2
fdnI	1	2
flgM	1	2
fliA	1	2
atoE	1	2
fdnH	1	2
atoD	1	2
uhpA	1	2
uhpT	1	2
uhpC	1	2
zraR	1	2
zraP	1	2
dcuR	1	2
dcuB	1	2
fdnG	1	2
uhpB	1	2
citA	1	2
baeR	1	2
mdtB	1	2
narX	1	2
narL	1	2
frdB	1	2
qseB	1	2
flhD	1	2
citB	1	2
appY	1	2
torS	1	2
citG	1	2
atoS	1	2
rcsD	1	2
kdpD	1	2
citX	1	2
qseC	1	2
kdpE	1	2
kdpB	1	2
phoR	1	2
phoB	1	2
kdpC	1	2
creC	1	2
creB	1	2
fliC	1	2
torR	1	2
torC	1	2
cusS	1	2
acrD	1	2
kdpF	1	2
ompR	1	2
citE	1	2
motA	1	2
citD	1	2
cheR	1	2
tsr	1	2
rstB	1	2
rstA	1	2
cheB	1	2
frdD	1	2
arcB	1	2
arcA	1	2
glnD	1	2
glnB	1	2
dcuS	1	2
glnL	1	2
glnG	1	2
narV	1	2
narQ	1	2
glmY	1	2
mdtC	1	2
barA	1	2
uvrY	1	2
baeS	1	2
citC	1	2
glrK	1	2
envZ	1	2
torD	1	2
zraS	1	2
evgS	1	2
evgA	1	2
narW	1	2
mdtA	1	2
csrA	1	1
sdiA	1	2
flhC	1	2
kdpA	1	2
cheY	1	2
frdC	1	2
torA	1	2
citF	1	2
emrY	1	2
emrK	1	2
citT	1	2
narY	1	2
lsrR	1	2
glrR	1	2
lsrA	1	2
lsrB	1	2
lsrC	1	2
lsrG	1	2
lsrD	1	2
lsrF	1	2
gadC	1	2
crp	1	2
zur	1	2
lsrK	1	2
ydaM	1	2
mlrA	1	2
gmr	1	2
yegE	1	2
ycgR	1	2
omrB	1	2
mcaS	1	2
wza	1	2
csgD	1	2
rpoS	1	2
rydC	1	2
gcvR	1	2
gcvB	1	2
csrB	1	2
gcvA	1	2
yoaD	1	2
csrC	1	2
rprA	1	2
dksA	1	2
flu	1	2
yaiC	1	2
fliZ	1	2
yhjH	1	2
oxyS	1	2
csgC	1	2
oxyR	1	2
arcZ	1	2
pgaC	1	2
rcsB	1	2
glgP	1	2
pgaA	1	2
csgB	1	2
pgaD	1	2
rcsC	1	2
csgA	1	2
pgaB	1	2
dsrA	1	2
aer	1	2
dppA	1	2
tap	1	2
mglB	1	2
trg	1	2
rbsB	1	2
malE	1	2
tar	1	2
cheZ	1	2
cheA	1	2
fliN	1	2
ptsH	1	2
mngA	1	2
agaV	1	2
npr	1	2
ptsN	1	2
bglF	1	2
frwA	1	2
ptsP	1	2
thiS	1	2
moeB	1	2
ynjE	1	2
tusD	1	2
tusC	1	2
tusB	1	2
tusE	1	2
moaD	1	2
mnmA	1	1
tusA	1	2
('Lipopolysaccharide', 'LPS')	7	2
('4-Amino-4-deoxy-L-arabinose', 'L-Ara4N')	1	2
('Zinc cation', 'Zn2+', 'Zn(II)', 'Zinc ion')	3	2
('AI-2', 'Autoinducer 2')	4	2
('Glutathione', '5-L-Glutamyl-L-cysteinylglycine', 'N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine', 'gamma-L-Glutamyl-L-cysteinyl-glycine', 'GSH', 'Reduced glutathione')	1	2
('Potassium cation', 'K+', 'Potassium(1+)', 'Potassium ion')	2	2
('Magnesium cation', 'Mg2+', 'Magnesium(2+)', 'Magnesium ion')	1	2
('D-Glucose', 'Grape sugar', 'Dextrose', 'Glucose', 'D-Glucopyranose')	2	2
('Glycine', 'Aminoacetic acid', 'Gly')	6	2
("3',5'-Cyclic AMP", 'Cyclic adenylic acid', 'Cyclic AMP', "Adenosine 3',5'-phosphate", "Adenosine 3',5'-cyclic phosphate", 'cAMP')	2	2
('N-Acetyl-D-glucosamine', 'N-Acetylchitosamine', '2-Acetamido-2-deoxy-D-glucose', 'GlcNAc')	1	2
