,ec,in_degree,out_degree,eigenvector_centrality,closeness centrality,Betweenness centrality,pagerank,hits,class
547,eco:b2104,0.0011061946902654867,0.0011061946902654867,0.00011281118567423982,0.08815083965296826,0.0,0.0006141872995326964,9.407269007046473e-06,2
548,eco:b0415,0.00331858407079646,0.00331858407079646,4.689425433200463e-06,0.0881755733341279,0.003482114751603866,0.0011225530871667104,4.769871901140276e-07,1
549,eco:b1662,0.0055309734513274336,0.0055309734513274336,3.82859725270024e-06,0.08493452523319779,0.000398564556570319,0.001984863170740898,3.782392377789909e-07,1
550,eco:b1277,0.007743362831858407,0.011061946902654867,0.017504953883728587,0.12515242666779444,0.012067060521578604,0.0015156973994635593,0.002554572031019958,1
551,eco:b0025,0.0055309734513274336,0.0055309734513274336,3.759724669898952e-06,0.08261244567897787,7.350130832328815e-06,0.0021332848754264363,3.707120639031982e-07,1
552,eco:b3041,0.0055309734513274336,0.00663716814159292,2.7576981367658586e-05,0.08889893730207407,0.0038238398299174597,0.0013755585541863986,3.5713739936835393e-06,1
553,eco:b0937,0.00663716814159292,0.00331858407079646,3.374257901259365e-06,0.08272117487834478,0.0015722560922190475,0.0017349570561916447,3.3306143823411665e-07,2
554,eco:b0414,0.0022123893805309734,0.0022123893805309734,0.0009624829678979387,0.10613230103439102,0.008603307183279868,0.0007188692469580591,0.000115256626340118,1
555,eco:b3844,0.004424778761061947,0.004424778761061947,3.584298365365647e-06,0.0824390722357901,0.0,0.0016529390893874195,3.5324679847733594e-07,2
556,eco:b3812,0.007743362831858407,0.007743362831858407,5.40228978098819e-05,0.09572273632739318,0.009233943210551654,0.002781752180418989,6.515623835716852e-06,2
557,eco:b4055,0.0055309734513274336,0.0055309734513274336,3.759724669898952e-06,0.08261244567897787,7.350130832328815e-06,0.0021332848754264363,3.7071206390319836e-07,2
558,eco:b2320,0.0022123893805309734,0.0022123893805309734,5.085019804586106e-06,0.08089002403161694,0.000853821420062123,0.0006146730799063107,5.333298716813498e-07,2
559,eco:b2927,0.00331858407079646,0.004424778761061947,7.876297021170567e-05,0.09311340544083906,0.006427815655948149,0.0009706803717147911,7.394576141765287e-05,2
560,eco:b2418,0.00331858407079646,0.00331858407079646,3.1509516462865114e-16,0.00331858407079646,1.2250218053881358e-06,0.001975676042145464,1.9640021748774143e-43,2
561,eco:b1406,0.0022123893805309734,0.0022123893805309734,2.460188703141658e-16,0.002488938053097345,0.0,0.0013707789040827115,1.533446560321662e-43,2
562,eco:b1638,0.00331858407079646,0.00331858407079646,3.1509516462865114e-16,0.00331858407079646,1.2250218053881358e-06,0.001975676042145464,1.9640021748774143e-43,2
563,eco:b2564,0.0022123893805309734,0.0022123893805309734,2.460188703141658e-16,0.002488938053097345,0.0,0.0013707789040827115,1.533446560321662e-43,2
564,eco:b0052,0.0011061946902654867,0.0022123893805309734,7.577664289245156e-07,0.07478765905826555,0.0,0.00040798975325829074,7.430715739616909e-05,2
565,eco:b4390,0.01327433628318584,0.01327433628318584,0.0009431354677673995,0.10209803228162177,0.0011583489301868225,0.0019220527129298357,0.00018308991981129857,2
566,eco:b3996,0.011061946902654867,0.012168141592920354,0.0005772468948747432,0.10011396730259058,0.00017189943756906888,0.0015496136809720498,0.00017142875440916662,2
567,eco:b3962,0.007743362831858407,0.008849557522123894,0.0005006517436664815,0.09916621753323819,0.0010601015992503773,0.0011566775165605578,0.00010290944845207323,2
568,eco:b1740,0.007743362831858407,0.007743362831858407,0.0005006517436664815,0.09916621753323819,0.0,0.0011410235027224619,9.88889858907303e-05,1
569,eco:b1768,0.0022123893805309734,0.0022123893805309734,0.00011445642210643512,0.08673964762981834,0.0,0.0005538896942624576,2.3580007857074537e-05,2
570,eco:b1603,0.008849557522123894,0.007743362831858407,0.0005314191390303252,0.10273218155045173,0.0014057992623666374,0.0012569149098292324,9.8664946882462e-05,2
571,eco:b0639,0.011061946902654867,0.012168141592920354,0.0005772468948747432,0.10011396730259058,0.00017189943756906888,0.0015496136809720498,0.00017142875440916662,1
572,eco:b0931,0.007743362831858407,0.00995575221238938,0.0005331246855412442,0.09929154608620279,0.0010276710779072704,0.001279821146590413,0.00014664372109322957,2
573,eco:b0750,0.0022123893805309734,0.0022123893805309734,0.00042466103019286866,0.10616815654149724,0.0016737418493538395,0.00068472863046406,5.2479489152781496e-05,2
574,eco:b2700,0.0055309734513274336,0.00663716814159292,0.0004440008992953478,0.09687353371234027,0.0,0.0008337164849666068,0.00012270184710468044,2
575,eco:b0109,0.007743362831858407,0.007743362831858407,0.0004917172472288806,0.10170153506887762,0.0017768326949667802,0.0012428394751920042,0.0001247254578739364,2
576,eco:b2615,0.008849557522123894,0.007743362831858407,0.0005314191390303252,0.10273218155045173,0.0014057992623666374,0.0012569149098292324,9.8664946882462e-05,1
577,eco:b3974,0.004424778761061947,0.0022123893805309734,0.0003686957180080886,0.10461309699162177,0.0023714478802218985,0.0011328575469356501,1.0730809097774103e-05,1
578,eco:b3634,0.004424778761061947,0.004424778761061947,0.0003529194346336798,0.09759557247292913,0.001389966540210022,0.0013368431089473983,5.916415092492412e-05,1
579,eco:b3639,0.00331858407079646,0.004424778761061947,0.000338798141561448,0.10030569529614805,0.0011188445173883393,0.0011035236555427333,5.9286196494457235e-05,1
580,eco:b0103,0.00331858407079646,0.00331858407079646,0.00031951799945840716,0.09613268380631136,0.0009376830128048904,0.0009411654125965038,4.314262271660947e-05,1
581,eco:b2563,0.0011061946902654867,0.0022123893805309734,1.760401052344498e-05,0.08375739428646904,1.2250218053881358e-06,0.0007503521525258357,1.6004416175760654e-05,1
582,eco:b0404,0.004424778761061947,0.00331858407079646,0.00032067403540784437,0.09759557247292913,0.0016936638251688256,0.001757150080763491,8.229398081967244e-06,2
