,ec,eigenvector_centrality,subgraph_centrality,clustering_coefficient,class
49,eco:b0767,0.00035040936929906457,1.2293154666818104e-07,0.0,2
50,eco:b1852,2.781410216495612e-05,3.5369022806820947e-09,0.3333333333333333,2
51,eco:b1850,0.20644191922606706,0.04261620207281157,0.45803698435277385,2
52,eco:b3386,6.074462463105455e-05,9.642866782870325e-09,0.5357142857142857,2
53,eco:b4090,0.00016805628653698541,5.3200940051678336e-08,0.3516483516483517,2
54,eco:b3752,0.0009782781660814875,9.710694738841656e-07,0.75,2
55,eco:b4383,0.0009782781660814875,9.710694738841652e-07,0.75,2
56,eco:b2842,0.0003762068514326425,1.416841818062231e-07,0.5,2
57,eco:b3091,0.0003762089066343176,1.4168781370491165e-07,0.5,2
58,eco:b3092,1.2854792066042106e-06,1.0341072379579972e-10,0.16666666666666666,2
59,eco:b1521,1.538770710066023e-05,2.957942531114622e-10,0.0,2
60,eco:b2843,1.5335226930926702e-05,2.7486782857087484e-10,0.0,2
61,eco:b4323,1.5415499310119635e-05,3.2579537380043196e-10,0.3333333333333333,2
62,eco:b4322,0.00037620999501239216,1.4169052351683747e-07,0.5,2
63,eco:b1617,5.239641410261387e-08,3.814666197205698e-11,0.0,2
64,eco:b2042,1.3696792574675313e-05,6.255383572977872e-09,0.4666666666666667,2
65,eco:b2028,7.195089000048992e-07,5.405831858111494e-10,0.6,2
66,eco:b3580,2.0053380421849224e-05,5.573507400162315e-10,0.2,2
67,eco:b3575,8.174418549487032e-07,4.093481367579194e-11,0.0,2
68,eco:b4196,9.97741635445743e-07,1.0935385004204279e-10,0.6666666666666666,2
69,eco:b0062,6.55422774020113e-07,7.163403126202915e-11,0.0,2
70,eco:b0063,1.603685741640361e-05,2.511708968539905e-09,0.42857142857142855,2
71,eco:b4198,4.9984623824695555e-05,5.344002040221953e-09,0.5,2
72,eco:b4197,3.5537219404000693e-06,2.597375216819017e-10,0.3333333333333333,2
73,eco:b1580,6.807606836043019e-07,6.60406259415524e-11,1.0,2
74,eco:b3904,0.0004857202500173974,2.3627393415341624e-07,0.0,2
75,eco:b3902,0.01187589103352856,0.00014106060725068372,0.5151515151515151,2
76,eco:b3564,5.185515377429468e-05,5.613648793839451e-09,0.5,2
77,eco:b3565,6.730160036862858e-05,1.1886513340541013e-08,0.2777777777777778,2
78,eco:b4297,0.007953187675480956,6.32513715757226e-05,0.0,2
79,eco:b4298,0.19510531481867527,0.03806423034339774,0.8738461538461538,2
