,ec,eigenvector_centrality,subgraph_centrality,clustering_coefficient,class
316,eco:b0085,5.980344102870433e-07,5.216966825324462e-11,0.0,1
317,eco:b2838,2.096331327167308e-11,7.869694281968681e-11,0.3333333333333333,2
318,eco:b2472,1.1563696414354935e-08,5.32151728237125e-11,0.0,1
319,eco:b0086,1.464705563783431e-05,2.841654175647594e-10,0.0,1
320,eco:b0166,1.3106561506295847e-08,5.3169185252177225e-11,0.0,1
321,eco:b4131,9.729970058220846e-13,6.178974747835465e-11,1.0,2
322,eco:b2222,0.0038113950085201945,1.4573623433274424e-05,0.8,2
323,eco:b4117,8.258118519978155e-08,1.6935106315920398e-10,0.5,2
324,eco:b2937,1.920423889490257e-06,7.019994144113805e-10,0.6666666666666666,2
325,eco:b1584,1.9171214578615456e-06,6.496171474097651e-10,1.0,2
326,eco:b3073,8.889436741817828e-06,8.714350632694091e-10,0.6666666666666666,2
327,eco:b0243,0.00027032249789574317,9.822793680080541e-08,1.0,2
328,eco:b0242,0.00317430262837511,1.1132071435434992e-05,0.8484848484848485,2
329,eco:b1301,3.7922747920319087e-07,7.007842115472482e-11,0.0,2
330,eco:b1300,7.272420197869188e-06,1.7632594712419465e-10,0.0,2
331,eco:b2965,3.1285076273887505e-06,8.115339153278443e-10,0.5238095238095238,2
332,eco:b0386,0.0001465332784192374,2.983831536460267e-08,1.0,2
333,eco:b1297,1.9322285078935593e-06,6.955143183976449e-10,0.6666666666666666,2
334,eco:b1747,1.592761697069047e-08,1.4876828216558987e-10,0.5,2
335,eco:b1298,0.00017697321127818868,4.4179129759076344e-08,0.5,2
336,eco:b1444,0.00017703722679344696,4.424880297797693e-08,0.5,2
337,eco:b1744,0.0034193979542703626,1.3041949118318136e-05,0.8241758241758241,2
338,eco:b1746,0.00014007620243351298,2.6698135877804382e-08,0.0,2
339,eco:b1748,5.75181781564581e-06,1.199752086115948e-10,0.0,2
340,eco:b1745,2.3739577556539213e-07,5.5365979932149694e-11,0.0,2
341,eco:b2026,3.553156033602994e-07,6.024340339754768e-11,0.0,2
342,eco:b2024,1.4601495734761743e-08,3.550052935878806e-11,0.0,2
343,eco:b2021,0.00035019070025971925,1.281589410156191e-07,0.14285714285714285,2
344,eco:b2022,1.4326692625112559e-05,2.990323875971585e-10,0.0,2
345,eco:b2020,5.859570628072082e-07,3.6144717914112015e-11,0.0,2
346,eco:b2019,8.666610238218762e-06,5.786941467808416e-10,0.5,2
347,eco:b0349,0.0023433572420987524,5.499869204447725e-06,0.4727272727272727,2
348,eco:b0352,0.1682357036100673,0.028301838911515664,0.8831168831168831,2
349,eco:b1385,0.0004608594422312517,2.1263668666864018e-07,0.3333333333333333,2
350,eco:b1398,1.9762738863771803e-05,4.908934041014024e-10,0.6666666666666666,2
351,eco:b3942,0.001165894354024876,1.3773505732285908e-06,0.5,2
352,eco:b1392,4.205012803325143e-06,1.0411345928115706e-10,0.3333333333333333,2
