,ec,eigenvector_centrality,closeness_centrality,betweenness_centrality,load_centrality,harmonic_centrality,class
713,eco:b1129,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
714,eco:b3912,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
715,eco:b4169,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
716,eco:b3860,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
717,eco:b2259,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
718,eco:b4544,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
719,eco:b3911,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
720,eco:b0463,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
721,eco:b0462,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
722,eco:b1531,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
723,eco:b1291,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
724,eco:b1293,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
725,eco:b0192,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
726,eco:b3363,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
727,eco:b2258,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
728,eco:b0161,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
729,eco:b2257,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
730,eco:b4114,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
731,eco:b1290,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
732,eco:b1292,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
733,eco:b1294,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
734,eco:b0622,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
735,eco:b4035,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
736,eco:b0262,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
737,eco:b2220,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
738,eco:b0571,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
739,eco:b0572,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
740,eco:b0574,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
741,eco:b0575,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
742,eco:b0573,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
743,eco:b2193,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
744,eco:b1476,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
745,eco:b1071,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
746,eco:b1922,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
747,eco:b2223,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
748,eco:b1475,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
749,eco:b2221,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
750,eco:b3669,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
751,eco:b3666,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
752,eco:b3667,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
753,eco:b4004,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
754,eco:b4002,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
755,eco:b4124,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
756,eco:b4123,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
757,eco:b1474,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
