,ec,eigenvector_centrality,closeness_centrality,betweenness_centrality,load_centrality,harmonic_centrality,class
103,eco:b2091,0.00024072450767402404,0.13951585343929826,0.0024321792158470174,0.0024321792158470174,0.1618302358367391,2
104,eco:b0344,6.676890013704038e-05,0.13367304185902162,0.0,0.0,0.15356798989385748,2
105,eco:b3077,8.230606750673423e-05,0.1381226299375466,0.0005179820926577024,0.0006779874315393807,0.16482585133235467,2
106,eco:b0759,3.1310230538084445e-06,0.11050423455944419,0.0029475042266613573,0.0027088815912742407,0.13372194659490685,2
107,eco:b4119,0.0011369992791338622,0.15817410448692995,0.02695355146327873,0.030172944187240543,0.19332921012834328,2
108,eco:b0758,4.702565563648604e-07,0.10648675811053368,0.00033152130716776273,0.0005986680816379474,0.12308990442384733,2
109,eco:b0403,0.00021083236972267136,0.14300174638852828,0.00914646329563689,0.009386330595467701,0.1779859611326378,2
110,eco:b4565,1.3186232946922387e-05,0.11983924932006149,0.0,0.0,0.13298325048048817,2
111,eco:b2036,1.9893454427252238e-07,0.09875685857295825,0.0,0.0,0.11372100708719828,2
112,eco:b3137,0.03357143443592365,0.18462442748418817,0.024303452593965942,0.026963262422195055,0.22162647885191233,2
113,eco:b4477,0.03343922164934497,0.1806064856455769,0.0048559932409258585,0.0048559932409258585,0.21545217386980398,2
114,eco:b3140,2.9092437747760067e-27,0.001445086705202312,0.0,0.0,0.001445086705202312,2
115,eco:b3141,1.322383533989094e-28,0.0,0.0,0.0,0.0,2
116,eco:b3693,0.0018363727990694501,0.14903683954649968,0.0024321792158470174,0.0024321792158470174,0.16760906482727342,2
117,eco:b4478,0.00010054468589433249,0.12679706669846078,0.0,0.0,0.13792922114815243,2
118,eco:b2787,0.011735204381398167,0.16062325191124371,0.0,0.0,0.18687641837930885,2
119,eco:b3126,0.20259710670011657,0.19798492283294453,0.00963682253878988,0.009326686818636899,0.25472349984633197,2
120,eco:b4195,1.0683142947705471e-08,0.09229510304445884,0.0,0.0,0.09959667204523333,2
121,eco:b4192,1.9474373544712575e-07,0.10354170948738937,0.0024321792158470174,0.0024321792158470174,0.11430187966761464,2
122,eco:b3128,0.011735204381398167,0.16062325191124371,0.0,0.0,0.18687641837930885,2
123,eco:b1095,1.2298538675948776e-14,0.006294155427103404,0.0011424110215024245,0.0011554576209301217,0.010215386732727772,2
124,eco:b2323,1.2298538675948776e-14,0.006294155427103404,0.0011424110215024245,0.0011554576209301217,0.010215386732727774,1
125,eco:b1093,1.0330116502139215e-14,0.007080924855491329,0.013824881012030648,0.013759018902168225,0.010043352601156071,1
126,eco:b1288,1.2796465678394952e-14,0.007262487031273158,0.00017721258299962196,0.00016625816651748743,0.010765895953757225,1
127,eco:b1091,0.03299995133833145,0.16913453835762754,0.014945702051521117,0.014875995937329512,0.20967896907203265,2
128,eco:b0180,1.2508480167051936e-14,0.00809248554913295,0.010119625569589624,0.01008528917233142,0.011657032755298651,1
129,eco:b0954,6.438544421986461e-15,0.005780346820809248,0.0,0.0,0.008409028351224883,1
130,eco:b1092,6.847155978274415e-15,0.0050578034682080926,0.00197707887249785,0.002046784986689456,0.00784131571703826,1
131,eco:b3256,0.04244539503212446,0.1688477724397611,0.003163277861265789,0.0032400943876103438,0.21219009394587426,1
132,eco:b1805,1.322383533989094e-28,0.0,0.0,0.0,0.0,2
133,eco:b3846,0.012132915678182128,0.14512739170062824,7.606515275150136e-05,0.00010186072050317552,0.1759268789976886,2
134,eco:b2844,0.05340575276138426,0.1705246852482382,0.005217221376279554,0.005139829640898295,0.21588194640940306,2
135,eco:b3845,0.05439692958415881,0.17271317409811152,0.010062208249161101,0.009752930859804186,0.2205652889178899,2
136,eco:b0221,0.007640371308734614,0.14391100604764612,0.001220025955267668,0.0012191887949199126,0.1718645797041754,2
137,eco:b2261,8.933921768709574e-17,0.052095844415657615,0.0012143468598468056,0.0012139983102314646,0.059864250888325934,2
138,eco:b2260,2.865368091848622e-16,0.05538732824525645,0.0012795256379155057,0.0012798741875308466,0.06323663927100581,2
139,eco:b4039,6.711670473018781e-14,0.06356850260753931,0.028066374361571358,0.02807256838746089,0.07486908616047021,2
140,eco:b2265,4.664875706664734e-15,0.05927057266097554,0.012647122792635284,0.012647122792635284,0.07191288365373215,2
141,eco:b3930,1.2126734339329206e-12,0.06851019275245672,0.01765557163531131,0.017652818093350054,0.08193997610348187,2
142,eco:b3833,6.760241378904118e-14,0.06347126589226966,0.008080216602672914,0.008076765961481039,0.07506176438783053,2
143,eco:b2907,4.023689019461435e-15,0.05909471646390404,0.0004200719964085475,0.00041834667581261127,0.0678115899570627,2
144,eco:b2264,6.001095859065815e-16,0.055467537142124934,0.004768855837090699,0.004768158737860017,0.06576554100510987,2
