,ec,eigenvector_centrality,closeness_centrality,betweenness_centrality,load_centrality,harmonic_centrality,clustering_coefficient,class
312,eco:b3774,0.0072953862824401815,0.14050040676499967,0.0002147233987902994,0.00028983345703379696,0.1640416016096101,0.0,2
313,eco:b3769,0.17743506466923004,0.17348616090281652,0.00601944208860556,0.00609674684411153,0.22306554224399694,0.7076923076923077,2
314,eco:b0074,0.001279255864059101,0.1298502301589064,0.0001441081604718418,0.0001846873672022847,0.1513322489383425,0.6,2
315,eco:b0072,0.000817009799270699,0.12374966364979892,1.1853369083094488e-06,1.1853369083094488e-06,0.1410987936015143,0.0,2
316,eco:b0073,0.01876309812151998,0.1486422689288695,0.001441872622846201,0.0014012934161157578,0.179380754054312,0.6,2
317,eco:b3572,0.0012916159119726529,0.1298502301589064,7.507133752626509e-06,8.14919124462746e-06,0.15133224893834257,0.7,2
318,eco:b3809,4.868306336103188e-10,0.07561736662904057,0.004750830328504271,0.004750830328504271,0.08352320494514735,0.0,2
319,eco:b0085,5.98034410287043e-07,0.09340799206664516,0.0029963064742038253,0.0032658696362517117,0.10133712601948563,0.0,1
320,eco:b2838,2.0963313271673072e-11,0.06856891789916779,0.003171961566636085,0.003171961566636085,0.07545642054859301,0.3333333333333333,2
321,eco:b2472,1.1563696414354928e-08,0.08425192061729216,0.006324957742739219,0.006324957742739219,0.0942314471286183,0.0,1
322,eco:b0086,1.4647055637834306e-05,0.10576962832244255,0.008808809489924463,0.009107226662152128,0.11679700573879066,0.0,1
323,eco:b0166,1.3106561506295842e-08,0.08571114737395974,0.00026269626826217363,0.00027776865256507095,0.09580646502572544,0.0,1
324,eco:b4131,9.729970058220844e-13,0.06269835147038058,0.0,0.0,0.06792908131028955,1.0,2
325,eco:b2222,0.003811395008520193,0.1250446448161189,2.5466783878527248e-06,2.6867636588347505e-06,0.14820014648632737,0.8,2
326,eco:b4117,8.258118519978151e-08,0.09027545944159829,0.001525084212760067,0.0015796775018828719,0.10409419047884791,0.5,2
327,eco:b2937,1.920423889490256e-06,0.10268809859349275,0.002996730541040786,0.0030266168547408725,0.12157919761293015,0.6666666666666666,2
328,eco:b1584,1.9171214578615444e-06,0.10255912044997989,0.0,0.0,0.12034597309352502,1.0,2
329,eco:b3073,8.889436741817821e-06,0.11270414501715065,0.0032502042109542792,0.0037874068510225607,0.1337337611004644,0.6666666666666666,2
330,eco:b0243,0.000270322497895743,0.11943562125537638,0.0,0.0,0.13793226178971588,1.0,2
331,eco:b0242,0.003174302628375107,0.14217205989249967,0.0007736129834007554,0.0007740414641386854,0.17627885051715286,0.8484848484848485,2
332,eco:b1301,3.7922747920319077e-07,0.09773088338111986,6.720860270114576e-05,7.329333216380092e-05,0.11075534005349039,0.0,2
333,eco:b1300,7.2724201978691815e-06,0.10952938036878021,0.0012574606948200378,0.0012212032511119684,0.12450271285962294,0.0,2
334,eco:b2965,3.1285076273887475e-06,0.1053149007716152,0.0015761863792624728,0.0017871530536228354,0.1259752881624484,0.5238095238095238,2
